時間,開盤價,最高價,最低價,收盤價,SMA5,SMA10,SMA20,SMA60,成交量,MA5,MA10,DIF12-26,MACD9,OSC,"K(9,3)","D(9,3)"
10/19/2018,231,236.5,230,236,235.7,238.05,249.55,249.94,29648,37186,45682,-5.65,-3.71,-1.94,34.92%,27.56%
10/22/2018,232.5,238,231.5,237,237,236.75,248.4,249.88,29276,33747,44570,-5.64,-4.1,-1.54,41.80%,32.31%
10/23/2018,232,234,230,230,235.6,235.4,246.83,249.63,36758,33273,43137,-5.96,-4.47,-1.48,34.12%,32.91%
10/24/2018,230,231,227,229.5,233.8,233.95,245.13,249.37,45481,33791,44792,-6.28,-4.83,-1.44,27.95%,31.26%
10/25/2018,220.5,222,219.5,219.5,230.4,233.15,242.93,248.93,75524,43337,42741,-7.18,-5.3,-1.88,18.64%,27.05%
10/26/2018,223,224,217,221,227.4,231.55,240.73,248.48,54074,48223,42704,-7.76,-5.79,-1.97,17.55%,23.88%
10/29/2018,223,224,221,222.5,224.5,230.75,238.73,248.11,18464,46060,39904,-7.99,-6.23,-1.75,18.75%,22.17%
10/30/2018,221,225,220.5,223,223.1,229.35,236.73,247.71,29086,44526,38899,-8.04,-6.59,-1.45,21.59%,21.98%
10/31/2018,228,234,228,234,224,228.9,235.55,247.52,59933,47416,40604,-7.23,-6.72,-0.51,41.38%,28.45%
11/1/2018,236,237,233,235.5,227.2,228.8,234.33,247.42,44515,41214,42276,-6.28,-6.63,0.35,56.95%,37.95%
11/2/2018,236.5,236.5,233.5,236.5,230.3,228.85,233.45,247.23,30785,36557,42390,-5.44,-6.39,0.96,70.47%,48.79%
11/5/2018,233,235.5,232,235,232.8,228.65,232.7,247.03,28157,38495,42278,-4.82,-6.08,1.26,76.98%,58.18%
11/6/2018,234,235.5,232.5,234.5,235.1,229.1,232.25,246.86,35501,39778,42152,-4.29,-5.72,1.43,80.49%,65.62%
11/7/2018,233,236,232.5,234,235.1,229.55,231.75,246.75,39843,35760,41588,-3.84,-5.34,1.51,81.99%,71.08%
11/8/2018,237.5,237.5,236,236.5,235.3,231.25,232.2,246.63,28086,32474,36844,-3.24,-4.92,1.68,86.03%,76.06%
11/9/2018,234.5,234.5,231,231,234.2,232.25,231.9,246.46,23792,31076,33816,-3.11,-4.56,1.45,77.94%,76.69%
11/12/2018,230,234.5,230,231.5,233.5,233.15,231.95,246.33,26202,30685,34590,-2.98,-4.24,1.27,64.24%,72.54%
11/13/2018,224.5,228,224.5,227.5,232.1,233.6,231.48,246.13,37565,31098,35438,-3.24,-4.04,0.81,50.52%,65.20%
11/14/2018,230,231,228.5,228.5,231,233.05,230.98,245.95,24565,28042,31901,-3.22,-3.88,0.66,43.94%,58.11%
11/15/2018,229.5,232,228.5,231,229.9,232.6,230.7,245.78,22230,26871,29673,-3.06,-3.71,0.66,45.96%,54.06%
11/16/2018,229,229,225,226,228.9,231.55,230.2,245.52,47139,31540,31308,-3.22,-3.62,0.39,34.48%,47.54%
11/19/2018,225,225,221,222,227,230.25,229.45,245.14,51035,36507,33596,-3.63,-3.62,-0.01,25.01%,40.03%
11/20/2018,219,220.5,218,218,225.1,228.6,228.85,244.72,45687,38131,34614,-4.22,-3.74,-0.48,16.67%,32.24%
11/21/2018,214.5,220,214,219,223.2,227.1,228.33,244.28,38478,40914,34478,-4.68,-3.93,-0.76,19.25%,27.91%
11/22/2018,221.5,222,219,219,220.8,225.35,228.3,243.78,22061,40880,33875,-4.85,-4.11,-0.74,20.96%,25.59%
11/23/2018,220.5,220.5,217,218.5,219.3,224.1,228.18,243.1,15553,34563,33052,-5.02,-4.3,-0.73,22.31%,24.50%
11/26/2018,219,224,218.5,223,219.5,223.25,228.2,242.43,35268,31409,33958,-4.82,-4.4,-0.42,31.54%,26.84%
11/27/2018,220,224.5,219,224,220.7,222.9,228.25,241.89,32676,28807,33469,-4.54,-4.43,-0.11,39.54%,31.08%
11/28/2018,222.5,227,222,226.5,222.2,222.7,227.88,241.38,24759,26063,33489,-4.07,-4.36,0.29,54.14%,38.77%
11/29/2018,231.5,231.5,229,229,224.2,222.5,227.55,240.91,46206,30892,35886,-3.32,-4.15,0.83,64.66%,47.40%
11/30/2018,229.5,231,225.5,225.5,225.6,222.45,227,240.27,57353,39252,36908,-2.91,-3.9,0.99,65.01%,53.27%
12/3/2018,231,235,231,235,228,223.75,227,239.83,49612,42121,36765,-1.99,-3.52,1.53,76.68%,61.07%
12/4/2018,233,234.5,231,234,230,225.35,226.98,239.33,41947,43975,36391,-1.3,-3.07,1.78,82.60%,68.25%
12/5/2018,226.5,227.5,225,226,229.9,226.05,226.58,238.69,45635,48151,37107,-1.32,-2.72,1.4,71.73%,69.41%
12/6/2018,220,222,219.5,220,228.1,226.15,225.75,238.03,40181,46946,38919,-1.78,-2.54,0.76,50.85%,63.22%
12/7/2018,222.5,223.5,220.5,221,227.2,226.4,225.25,237.37,31998,41875,40564,-2.03,-2.43,0.4,38.07%,54.84%
12/10/2018,219.5,220,218.5,219,224,226,224.63,236.77,26229,37198,39660,-2.39,-2.43,0.03,26.39%,45.36%
